Date,Temperature (°C),Humidity (%),Nutrients (g/L),pH,Recommendations
2024-01-01,17.49080237694725,21.885751141204054,6.599300638465734,4.206726884674431,Arroser
2024-01-02,29.01428612819832,58.184624675826825,1.299329667452964,6.1254185262725915,Ajouter des nutriments
2024-01-03,24.6398788362281,38.8613588645796,2.0354727838988307,6.162540486440426,Arroser
2024-01-04,21.973169683940732,50.514241469882165,9.036264791007254,6.549719605992826,Arroser
2024-01-05,13.12037280884873,74.45398843556558,6.261076066766105,6.904365334890646,Ajouter des nutriments
2024-01-06,13.119890406724053,34.9575337489325,0.5873719903579817,7.903408317850138,Aucune recommandation
2024-01-07,11.16167224336399,44.62297538213778,1.463979657227305,6.065201393204781,Aucune recommandation
2024-01-08,27.323522915498703,65.33306831258292,6.80326680652653,5.291825891764984,Arroser
2024-01-09,22.022300234864176,33.72788992949735,0.5480850465390775,7.180744779074814,Ajouter des nutriments
2024-01-10,24.16145155592091,24.618794589727578,2.0276764884662373,5.083329005048297,Arroser
2024-01-11,10.411689885916049,37.38508717482608,5.712970998982568,5.755885682822544,Ajuster la température
2024-01-12,29.398197043239886,29.673277235240263,7.073004378080586,4.313825525369063,Ajuster la température
2024-01-13,26.648852816008436,75.78185914055439,6.693631965274705,4.1014029736618305,Arroser
2024-01-14,14.246782213565524,68.48722277386501,2.630558439875318,7.8505936587117,Aucune recommandation
2024-01-15,13.636499344142013,58.00422539062541,7.265702602801591,7.343920482048823,Aucune recommandation
2024-01-16,13.668090197068675,72.28763541126307,2.7538663312196006,6.783896824374792,Arroser
2024-01-17,16.084844859190753,68.22032461394687,3.591297132513043,5.6358117776570795,Arroser
2024-01-18,20.495128632644757,31.194203533162153,7.591668348621229,4.693177280283383,Ajuster la température
2024-01-19,18.638900372842315,73.55353990939867,6.671512540948539,4.625748170684345,Aucune recommandation
2024-01-20,15.824582803960839,52.36053451493904,8.56762239969469,5.000971592658381,Arroser
2024-01-21,22.237057894447588,68.44640930984374,6.747322476853262,6.196906658824481,Ajuster la température
2024-01-22,12.789877213040837,73.7654779954096,5.8989317316869805,6.858383690800249,Aucune recommandation
2024-01-23,15.842892970704362,39.08020849831183,1.3899102943668784,6.6407895068709255,Ajouter des nutriments
2024-01-24,17.327236865873836,26.603115471660605,3.9933001290646186,5.119735587783771,Ajuster la température
2024-01-25,19.12139968434072,33.6761097525165,3.0194224929763918,7.819461122652776,Aucune recommandation
2024-01-26,25.703519227860273,45.626467317575376,2.817901612101294,6.951587666783074,Aucune recommandation
2024-01-27,13.993475643167194,69.08088595534959,9.743600270148233,6.217416210045602,Ajuster la température
2024-01-28,20.284688768272233,71.64383499538062,4.234428384334224,6.4468829849374085,Ajouter des nutriments
2024-01-29,21.848291377240848,20.417127831871444,8.974442274182577,5.67840024971116,Ajuster la température
2024-01-30,10.929008254399955,50.64483815465394,6.4958169469739975,4.99092395800463,Aucune recommandation
2024-01-31,22.150897038028766,45.04466018892674,8.05070738364566,5.423890714605046,Arroser
2024-02-01,13.41048247374583,33.326468628243816,5.275052384499325,7.031384441857476,Arroser
