Date,Temperature (°C),Humidity (%),Nutrients (g/L),pH,Recommendations,Model Predictions
2024-01-01,17.49080237694725,21.885751141204054,6.599300638465734,4.206726884674431,"Temperature (°C) est dans la plage bonne, mais pourrait être amélioré. Humidity (%) est critique. Des ajustements sont nécessaires. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dangereux. Des mesures immédiates sont requises.",Arroser
2024-01-02,29.01428612819832,58.184624675826825,1.299329667452964,6.125418526272592,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dans la plage bonne, mais pourrait être amélioré. pH est dans la plage optimale.",Ajouter des nutriments
2024-01-03,24.6398788362281,38.8613588645796,2.0354727838988307,6.162540486440426,"Temperature (°C) est dans la plage bonne, mais pourrait être amélioré. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dans la plage optimale. pH est dans la plage optimale.",Arroser
2024-01-04,21.97316968394073,50.514241469882165,9.036264791007254,6.549719605992826,"Temperature (°C) est dans la plage optimale. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dans la plage bonne, mais pourrait être amélioré.",Arroser
2024-01-05,13.12037280884873,74.45398843556558,6.261076066766105,6.904365334890646,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dangereux. Des mesures immédiates sont requises. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dans la plage bonne, mais pourrait être amélioré.",Ajouter des nutriments
2024-01-06,13.119890406724052,34.9575337489325,0.5873719903579817,7.903408317850138,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est critique. Des ajustements sont nécessaires. pH est dangereux. Des mesures immédiates sont requises.",Aucune recommandation
2024-01-07,11.16167224336399,44.62297538213778,1.463979657227305,6.065201393204781,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dans la plage optimale. Nutrients (g/L) est dans la plage bonne, mais pourrait être amélioré. pH est dans la plage optimale.",Aucune recommandation
2024-01-08,27.323522915498703,65.33306831258292,6.80326680652653,5.291825891764984,Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est critique. Des ajustements sont nécessaires. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est critique. Des ajustements sont nécessaires.,Arroser
2024-01-09,22.022300234864176,33.72788992949735,0.5480850465390775,7.180744779074814,"Temperature (°C) est dans la plage bonne, mais pourrait être amélioré. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est critique. Des ajustements sont nécessaires. pH est critique. Des ajustements sont nécessaires.",Ajouter des nutriments
2024-01-10,24.16145155592091,24.618794589727575,2.0276764884662373,5.083329005048297,"Temperature (°C) est dans la plage bonne, mais pourrait être amélioré. Humidity (%) est critique. Des ajustements sont nécessaires. Nutrients (g/L) est dans la plage optimale. pH est critique. Des ajustements sont nécessaires.",Arroser
2024-01-11,10.411689885916047,37.38508717482608,5.712970998982568,5.755885682822544,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dans la plage bonne, mais pourrait être amélioré.",Ajuster la température
2024-01-12,29.39819704323989,29.673277235240263,7.073004378080586,4.313825525369063,Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est critique. Des ajustements sont nécessaires. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dangereux. Des mesures immédiates sont requises.,Ajuster la température
2024-01-13,26.64885281600844,75.78185914055439,6.693631965274705,4.101402973661831,Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dangereux. Des mesures immédiates sont requises. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dangereux. Des mesures immédiates sont requises.,Arroser
2024-01-14,14.246782213565524,68.48722277386501,2.630558439875318,7.8505936587117,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est critique. Des ajustements sont nécessaires. Nutrients (g/L) est dans la plage bonne, mais pourrait être amélioré. pH est dangereux. Des mesures immédiates sont requises.",Aucune recommandation
2024-01-15,13.636499344142011,58.00422539062541,7.265702602801591,7.343920482048823,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est critique. Des ajustements sont nécessaires.",Aucune recommandation
2024-01-16,13.668090197068675,72.28763541126307,2.753866331219601,6.783896824374792,"Temperature (°C) est critique. Des ajustements sont nécessaires. Humidity (%) est dangereux. Des mesures immédiates sont requises. Nutrients (g/L) est dans la plage bonne, mais pourrait être amélioré. pH est dans la plage bonne, mais pourrait être amélioré.",Arroser
2024-01-17,16.084844859190753,68.22032461394687,3.591297132513043,5.63581177765708,"Temperature (°C) est dans la plage bonne, mais pourrait être amélioré. Humidity (%) est critique. Des ajustements sont nécessaires. Nutrients (g/L) est critique. Des ajustements sont nécessaires. pH est dans la plage bonne, mais pourrait être amélioré.",Arroser
2024-01-18,20.49512863264476,31.194203533162156,7.591668348621229,4.693177280283383,"Temperature (°C) est dans la plage optimale. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dangereux. Des mesures immédiates sont requises.",Ajuster la température
2024-01-19,18.638900372842315,73.55353990939867,6.671512540948539,4.625748170684345,Temperature (°C) est dans la plage optimale. Humidity (%) est dangereux. Des mesures immédiates sont requises. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est dangereux. Des mesures immédiates sont requises.,Aucune recommandation
2024-01-20,15.82458280396084,52.36053451493904,8.56762239969469,5.000971592658381,"Temperature (°C) est dans la plage bonne, mais pourrait être amélioré. Humidity (%) est dans la plage bonne, mais pourrait être amélioré. Nutrients (g/L) est dangereux. Des mesures immédiates sont requises. pH est critique. Des ajustements sont nécessaires.",Arroser
